DATE,ACCOUNT,FUND,ASSET,AMOUNT,PRICE,TRANSACTION,LOT_DATE
9/16/2022,401(k),AVDV,Intl Small Value,19,51.43,BUY,
8/1/2022,401(k),AVDV,Intl Small Value,5,56.1,BUY,
7/18/2022,401(k),AVDV,Intl Small Value,11,52.09,BUY,
7/1/2022,401(k),AVDV,Intl Small Value,5,52.01,BUY,
6/27/2022,401(k),AVDV,Intl Small Value,7,54,BUY,
6/16/2022,401(k),AVDV,Intl Small Value,5,54.43,BUY,
6/1/2022,401(k),AVDV,Intl Small Value,15,59.98,BUY,
5/2/2022,401(k),AVDV,Intl Small Value,6,59.09,BUY,
4/22/2022,401(k),AVDV,Intl Small Value,12,61.61,BUY,
4/11/2022,401(k),AVDV,Intl Small Value,21,61.48,BUY,
4/7/2022,401(k),AVDV,Intl Small Value,14,61.33,BUY,
4/6/2022,401(k),AVDV,Intl Small Value,14,61.7,BUY,
4/5/2022,401(k),AVDV,Intl Small Value,10,62.62,BUY,
4/5/2022,401(k),AVDV,Intl Small Value,14,62.98,BUY,
4/1/2022,401(k),AVDV,Intl Small Value,9,63,BUY,
3/31/2022,401(k),AVDV,Intl Small Value,14,62.92,BUY,
3/30/2022,401(k),AVDV,Intl Small Value,4,63.47,BUY,
3/30/2022,401(k),AVDV,Intl Small Value,14,63.68,BUY,
3/28/2022,401(k),AVDV,Intl Small Value,9,62.79,BUY,
3/24/2022,401(k),AVDV,Intl Small Value,9,62.95,BUY,
3/23/2022,401(k),AVDV,Intl Small Value,4,62.99,BUY,
9/16/2022,401(k),AVUS,US Large Blend,22,67.15,BUY,
9/12/2022,401(k),AVUS,US Large Blend,147,71.34,BUY,
9/16/2022,401(k),AVUV,US Small Value,11,70.92,BUY,
8/1/2022,401(k),AVUV,US Small Value,4,75.22,BUY,
7/18/2022,401(k),AVUV,US Small Value,2,69.43,BUY,
7/1/2022,401(k),AVUV,US Small Value,13,67.51,BUY,
6/16/2022,401(k),AVUV,US Small Value,12,69.91,BUY,
5/24/2022,401(k),AVUV,US Small Value,12,72.43,BUY,
5/2/2022,401(k),AVUV,US Small Value,11,75.45,BUY,
4/22/2022,401(k),AVUV,US Small Value,13,79.11,BUY,
4/20/2022,401(k),AVUV,US Small Value,82,81.98,BUY,
8/10/2022,401(k),AVES,Emerging Markets,1,42.61,BUY,
8/1/2022,401(k),AVES,Emerging Markets,16,42.06,BUY,
7/18/2022,401(k),AVES,Emerging Markets,15,40.88,BUY,
7/1/2022,401(k),AVES,Emerging Markets,1,41.7,BUY,
6/27/2022,401(k),AVES,Emerging Markets,3,42.91,BUY,
6/16/2022,401(k),AVES,Emerging Markets,3,42.74,BUY,
6/1/2022,401(k),AVES,Emerging Markets,6,46.62,BUY,
5/24/2022,401(k),AVES,Emerging Markets,6,44.84,BUY,
5/24/2022,401(k),AVES,Emerging Markets,2,44.84,BUY,
5/2/2022,401(k),AVES,Emerging Markets,3,46.25,BUY,
4/22/2022,401(k),AVES,Emerging Markets,2,47.74,BUY,
4/11/2022,401(k),AVES,Emerging Markets,30,48.94,BUY,
4/7/2022,401(k),AVES,Emerging Markets,12,48.93,BUY,
4/6/2022,401(k),AVES,Emerging Markets,12,49.51,BUY,
4/5/2022,401(k),AVES,Emerging Markets,8,49.79,BUY,
4/5/2022,401(k),AVES,Emerging Markets,12,49.95,BUY,
4/1/2022,401(k),AVES,Emerging Markets,6,49.72,BUY,
3/31/2022,401(k),AVES,Emerging Markets,12,49.3,BUY,
3/30/2022,401(k),AVES,Emerging Markets,3,49.56,BUY,
3/30/2022,401(k),AVES,Emerging Markets,12,49.77,BUY,
3/28/2022,401(k),AVES,Emerging Markets,8,48.93,BUY,
3/24/2022,401(k),AVES,Emerging Markets,7,49.32,BUY,
3/23/2022,401(k),AVES,Emerging Markets,8,49.14,BUY,
3/22/2022,401(k),AVES,Emerging Markets,3,49.3,BUY,
3/21/2022,401(k),AVES,Emerging Markets,8,48.51,BUY,
3/18/2022,401(k),AVES,Emerging Markets,4,48.75,BUY,
3/17/2022,401(k),AVES,Emerging Markets,3,48.41,BUY,
3/16/2022,401(k),AVES,Emerging Markets,16,47.42,BUY,
3/16/2022,401(k),AVES,Emerging Markets,3,47.43,BUY,
3/15/2022,401(k),AVES,Emerging Markets,44,45.62,BUY,
